Normalized_Title,Game_Title,Rating,Plays,Playing,Wishlist,Global_Sales,Engagement_Sales_Anomaly
advance wars,Advance Wars,3.7,1900.0,52.0,266.0,0.7,Normal
alan wake,Alan Wake,3.6,6200.0,96.0,741.0,1.4200000000000002,Normal
alice madness returns,Alice: Madness Returns,3.5,2800.0,113.0,636.0,1.22,Normal
alpha protocol,Alpha Protocol,3.3,987.0,9.0,182.0,0.87,Normal
animal crossing,Animal Crossing,3.9,3900.0,51.0,317.0,3.15,Normal
animal crossing city folk,Animal Crossing: City Folk,3.4,3100.0,17.0,129.0,4.68,Normal
animal crossing new leaf,Animal Crossing: New Leaf,4.0,9900.0,156.0,383.0,9.09,Normal
ape escape 3,Ape Escape 3,4.3,874.0,24.0,231.0,0.13,Normal
armored core,Armored Core,3.4,522.0,38.0,216.0,0.41,Normal
armored core 2,Armored Core 2,3.6,278.0,18.0,119.0,0.79,Normal
armored core 3,Armored Core 3,3.7,297.0,19.0,142.0,0.67,Normal
armored core 4,Armored Core 4,3.7,252.0,15.0,162.0,0.45,Normal
back to the future the game,Back to the Future: The Game,3.2,763.0,5.0,67.0,0.37,Normal
batman arkham asylum,Batman: Arkham Asylum,3.9,17000.0,232.0,672.0,8.07,Normal
batman arkham city,Batman: Arkham City,4.1,16000.0,192.0,651.0,11.2,Normal
batman arkham knight,Batman: Arkham Knight,3.7000000000000006,13000.0,279.0,757.0,5.37,Normal
batman arkham origins,Batman: Arkham Origins,3.4,7800.0,125.0,632.0,4.97,Normal
battlefield 4,Battlefield 4,3.5,7100.0,72.0,124.0,14.03,Normal
battlefield bad company 2,Battlefield: Bad Company 2,3.6,4200.0,23.0,119.0,7.16,Normal
bayonetta,Bayonetta,3.9,13000.0,614.0,2300.0,2.17,Normal
bayonetta 2,Bayonetta 2,4.1,6000.0,154.0,2000.0,1.01,Normal
beyond good evil,Beyond Good & Evil,3.9,2300.0,35.0,629.0,0.5,Normal
beyond two souls,Beyond: Two Souls,2.7,5400.0,52.0,524.0,1.79,Normal
