Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Normalized_Name,Regional_Total,NA_Share,EU_Share,JP_Share,Other_Share,Dominant_Region,Dominant_Region_Share,Regional_Anomaly
1,Wii Sports,WII,2006.0,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,wii sports,82.74000000000001,0.5014503263234228,0.3507372492144065,0.04556441866086536,0.10224800580130529,North America,0.5014503263234228,Normal
2,Super Mario Bros.,NES,1985.0,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,super mario bros,40.24,0.7226640159045725,0.0889662027833002,0.169234592445328,0.019135188866799203,North America,0.7226640159045725,Normal
3,Mario Kart Wii,WII,2008.0,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,mario kart wii,35.830000000000005,0.44236673178900354,0.35947530002790956,0.1057772816075914,0.09238068657549538,North America,0.44236673178900354,Normal
4,Wii Sports Resort,WII,2009.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,wii sports resort,33.0,0.4772727272727273,0.3336363636363636,0.09939393939393938,0.08969696969696969,North America,0.4772727272727273,Normal
5,Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,pokemon redpokemon blue,31.380000000000003,0.3591459528362014,0.2833014659018483,0.325685149776928,0.0318674314850223,North America,0.3591459528362014,Normal
6,Tetris,GB,1989.0,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,tetris,30.259999999999998,0.7666886979510906,0.07468605419695969,0.1394580304031725,0.019167217448777262,North America,0.7666886979510906,Regionally Concentrated
7,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,new super mario bros,30.009999999999998,0.3792069310229924,0.30756414528490506,0.21659446851049652,0.09663445518160614,North America,0.3792069310229924,Normal
8,Wii Play,WII,2006.0,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,wii play,29.009999999999998,0.4836263357462944,0.31713202344019303,0.10099965529127888,0.09824198552223372,North America,0.4836263357462944,Normal
9,New Super Mario Bros. Wii,WII,2009.0,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,new super mario bros wii,28.61,0.5099615519049283,0.24676686473261097,0.16427822439706397,0.0789933589653967,North America,0.5099615519049283,Normal
10,Duck Hunt,NES,1984.0,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,duck hunt,28.31,0.9512539738608266,0.022253620628753093,0.009890498057223597,0.01660190745319675,North America,0.9512539738608266,Regionally Concentrated
11,Nintendogs,DS,2005.0,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,nintendogs,24.75,0.3664646464646465,0.4444444444444444,0.07797979797979798,0.1111111111111111,Europe,0.4444444444444444,Normal
12,Mario Kart DS,DS,2005.0,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,mario kart ds,23.43,0.4186939820742638,0.3230900554844217,0.17626973965002135,0.08194622279129321,North America,0.4186939820742638,Normal
13,Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,pokemon goldpokemon silver,23.09,0.389779125162408,0.2676483326115201,0.3118233001299264,0.030749242096145515,North America,0.389779125162408,Normal
